playerid,Name,z_runs,z_hr,z_rbi,z_sb,z_k,z_avg,z_ops,final_z_sum
10047,Wil Myers,0.4376731075617579,1.414615682219638,1.2089492050895965,-0.3014634520747607,0.5101518799603323,0.7185090414774682,1.4799661602651089,4.448097864578476
10071,Jonathan Villar,-1.7357350862588152,-1.0575422614429204,-1.632228510848908,2.0109373653068823,0.31737549223582395,-0.693802743457623,-1.2690218288247745,-4.694768557761982
10155,Mike Trout,1.3692514135925662,1.8812252684570099,1.8637646677318955,-0.5673504719170962,0.5101518799603323,0.5316929318178818,1.7870257486518708,6.355457678373796
10231,Jose Iglesias,-0.9903240905552644,-1.35323226138451,-1.445410220623695,-0.40740332535310375,-1.4921530725244536,0.24599268342812153,-1.161971804957945,-3.620195946921944
10243,Randal Grichuk,-0.42312877612757754,0.16229101922689262,0.30835500931570203,-0.6970494915466358,-0.004894716085771276,-0.19322679064848333,-0.5327756454439916,-1.3706399591383223
10324,Marcell Ozuna,-0.07453721858745155,1.2089318707445655,1.0724758123476812,-0.8080616646087538,0.44009962803369923,0.4559073882451903,0.7854911275672933,2.2001076876748256
10472,Enrique Hernandez,0.1884764880458757,-0.30640581304657255,-0.8462137303154164,-0.8555469832415178,-0.41500507329586367,-0.5726048177276435,-0.1296395813750687,-2.106929364364479
10556,Cesar Hernandez,0.04156141090475366,-1.1919776640637938,-1.218545730998322,-0.521662460887827,0.26117142461606285,-0.3508379261563794,-1.03859092726244,-4.541224723080072
10681,Gio Urshela,-0.8162467382725297,-0.7343868040009488,-0.4009545498988498,-0.896221203682519,-0.7007361672641529,0.9447483788583143,0.07329678535562845,-1.1290279643767516
10762,Corey Dickerson,-0.7600704287635671,-0.4518226627298498,-1.3011767350392158,-0.5673504719170962,-0.9331810479729794,-0.0821314284921928,-0.7417002733567558,-2.9710709523256984
10815,Jurickson Profar,0.04741100001448492,-0.4893326849739609,-0.5679785997855682,0.2925459541760851,-0.9503786936903851,-0.04423021510431105,-0.33565074893927677,-0.14685660092216168
10950,Adam Duvall,-0.21428335578090374,1.5272516979678246,1.122617633609864,-0.6203204085562677,0.963664291772978,-1.0363814548713668,0.021184339609783387,-0.16359583979404424
11200,Kole Calhoun,0.5707557227090162,1.6479204753383239,1.2089492050895965,-0.5673504719170962,0.09777104340795754,-0.9361479297931654,0.6220055456550394,2.4483615036737567
11265,Jonathan Schoop,-0.6765447044245164,-0.5290023161572048,-0.689366245803816,-0.5931954037770806,-0.03559493180665302,-0.7353576066723893,-1.4493900091104353,-4.63726135413879
11281,Whit Merrifield,0.5646257876419589,-0.7284033993009397,-0.24580960188610407,2.225023239067747,-0.9128411434658095,0.24854742173121572,-0.7911898765662145,2.1856347141534727
11342,Jesus Aguilar,-1.364425771065109,-0.25255408665612705,0.09659240485861198,-0.8990138643851907,-0.5081417070968701,-0.18059677457902126,-0.39188088528766574,-2.483737270017632
11368,Yasmani Grandal,-0.49390519846905045,-0.2185178696111638,-0.20981763063538433,-0.8332374917594317,0.6476121588111239,-0.8293958671305437,-0.19983041149776393,-3.432316627914462
11445,Mark Canha,0.23592646086318728,-0.748240996096242,-0.3018980021421322,-0.020797269224033882,-0.05282589881410827,-0.4808640599401779,-0.16912641642221543,-1.4321743841475059
11477,Christian Yelich,1.2941785373147856,0.042043273627034805,-0.7572585652924877,0.6870629879836831,1.6021430401058163,-0.8592530339841775,-0.17813766228512123,-1.373507502742099
11489,Michael A. Taylor,-1.4246190405662107,-1.067734139110527,-1.1458119754695557,0.6009199048958279,0.6313672688119094,-0.806489818057862,-1.7449358841576856,-6.220038221277924
11493,Manny Machado,1.3330499925163892,1.1133750345973623,1.6554785885984251,0.38313147645307594,-0.3416976726037268,1.0229056025565653,1.1725810608778886,7.0222194282034325
11579,Bryce Harper,1.3062221044039415,1.0345454471528042,0.39858854115402764,0.8913713287014884,-0.029864617483036066,0.9560065401752658,2.2554259988408,6.872024577911364
11609,Willson Contreras,0.836920953003533,-0.4518226627298498,-0.3189535410757675,-0.5673504719170962,0.5788820193857281,-0.48245166347702406,-0.2901420551409292,-1.852681460722862
11615,Brandon Drury,0.7584758504039266,0.8221939218706276,0.775546043033005,-0.7828858374580759,0.21756727773927312,0.16697625348848807,0.6239434894092205,2.146682443007918
11737,Nick Castellanos,0.19626097619935287,0.49094761422178373,0.40066089906952707,-0.5603072174642011,0.5557261948655542,0.3104682200719458,0.2758384082558152,0.5581427054886693
11739,J.T. Realmuto,-0.23869830812676093,0.029684735315445198,0.2536223887911179,0.6965602329466589,0.04444655015398764,0.23069586205980622,0.311591744224204,1.2390101050564837
11902,Hanser Alberto,0.5707557227090162,-1.3850418352045937,-0.7554971828373,-0.03557643223242519,-1.2768317450999584,0.5850689631491911,-0.8771677388215038,-0.6206267581376568
12144,Max Kepler,-0.49390519846905045,0.014786923507522174,-0.6463612723969169,-0.03557643223242519,-0.8644509085475837,-0.8827718984618546,-0.31723554823387884,-1.4966125177390204
12147,Nick Ahmed,-0.22773996817453376,-0.9184322489672216,0.008454190245381951,0.23031058760991033,-0.17714951429362563,0.13137269683305053,-0.5972016435276913,-1.1960868716874784
12155,Eddie Rosario,0.0384252621199829,0.948006095982266,1.4272210259703628,-0.03557643223242519,-1.0019111873983753,-0.10881944415784822,-0.028238288575749854,3.2429294065049636
12161,Xander Bogaerts,0.6137815767897583,-0.022117962748589126,0.020415857715459233,0.26119390050491037,-0.2902639847607749,1.3142728061474898,0.7726620336521587,3.2504721968219625
