playerid,#,Season,Name,Team,z_w,z_era,z_saves,z_hr,z_k,z_whip,z_hold,z_pit_avg
19427,1,2020,Shane Bieber,CLE,2.14901900115388,-1.6591805602351157,NA,-0.4779869794831741,2.515143707086849,-1.427280517418973,NA,8.228610765377994
12703,2,2020,Trevor Bauer,CIN,0.2937507987188755,-1.5689954502889212,NA,0.23014187901041736,1.4073727049665152,-1.8391198010745828,NA,4.879096876038478
9434,3,2020,Dallas Keuchel,CHW,0.912173532863877,-1.334514164428815,NA,-2.2483091257171526,-1.5131144824416378,-0.2947224873660459,NA,3.276604827934253
13074,4,2020,Yu Darvish,CHC,2.14901900115388,-1.3164771424395763,NA,-1.1861158379767656,1.0549001133827727,-0.9639613233064124,NA,6.670473418259406
17186,5,2020,Dinelson Lamet,SDP,-0.9430946695711275,-1.2443290544826204,NA,-1.1861158379767656,1.0549001133827727,-1.4787604278759245,NA,4.021010764146956
12304,6,2020,Chris Bassitt,OAK,0.2937507987188755,-1.063958834590231,NA,-0.8320514087299699,-0.8585225266432587,0.06563688583261187,NA,1.2656016295632058
10954,7,2020,Jacob deGrom,NYM,-0.32467193542612605,-0.982792235638656,NA,-0.4779869794831741,1.6087856144429395,-0.9639613233064124,NA,3.7088542174450563
14444,8,2020,Hyun-Jin Ryu,TOR,0.2937507987188755,-0.7032183948054526,NA,-0.8320514087299699,-0.0025176613684551614,0.014156975375660599,NA,1.8123459655101821
18498,9,2020,Kenta Maeda,MIN,0.912173532863877,-0.694199883810833,NA,0.23014187901041736,0.40030815758439353,-2.0450394429023877,NA,3.8215791381510735
13183,10,2020,Zach Davies,SDP,1.5305962670088786,-0.6671443508269748,NA,0.23014187901041736,-0.45569670769040993,-0.3976823082799484,NA,1.9095843394149743
19291,11,2020,Zac Gallen,ARI,-0.9430946695711275,-0.6491073288377358,NA,0.23014187901041736,0.5010146123226057,-0.19176266645214332,NA,0.16864805903093993
13125,12,2020,Gerrit Cole,NYY,1.5305962670088786,-0.5679407298861607,NA,2.000464025244396,1.1052533407518788,-0.9639613233064124,NA,2.1672876357089343
12049,13,2020,Kyle Hendricks,CHC,0.912173532863877,-0.5318666859076828,NA,0.5842063082572131,-0.40534348032130385,-0.7580416814786073,NA,1.21253211167165
6632,14,2020,Carlos Carrasco,CLE,-0.9430946695711275,-0.5048111529238243,NA,-0.12392255023637838,0.5010146123226057,0.3230364381173682,NA,-0.1363827922056874
10310,15,2020,Zack Wheeler,PHI,-0.32467193542612605,-0.49579264192920497,NA,-1.894244696470357,-0.9592289813814708,0.11711679628956313,NA,0.989019625302402
16162,16,2020,Brandon Woodruff,MIL,-0.9430946695711275,-0.37855199899915204,NA,0.23014187901041736,0.9541936586445605,-0.8095215919355586,NA,0.9690307009977263
15467,17,2020,Marco Gonzales,SEA,1.5305962670088786,-0.3334594440260545,NA,-0.12392255023637838,-0.40534348032130385,-1.0154412337633636,NA,2.5980760147133712
2233,18,2020,Adam Wainwright,STL,0.2937507987188755,-0.2883668890529573,NA,0.23014187901041736,-0.9088757540123648,-0.500642129193851,NA,-0.05625781605709834
15689,19,2020,Luis Castillo,CIN,-0.32467193542612605,-0.23425582308524048,NA,-1.1861158379767656,0.8534872039063484,0.42599625903127075,NA,1.5231906705109577
16149,20,2020,Aaron Nola,PHI,0.2937507987188755,-0.1711262461229044,NA,0.23014187901041736,1.205959795490091,-0.34620239782299717,NA,1.7868973591444506
12917,21,2020,Dylan Bundy,LAA,0.912173532863877,-0.16210773512828472,NA,-1.1861158379767656,-0.0025176613684551614,-0.5521220396508022,NA,2.8100014842512744
2520,22,2020,Lance Lynn,TEX,0.912173532863877,-0.1350522021444265,NA,1.6463995959976003,0.8534872039063484,-0.44916221873689965,NA,0.7034755616539513
15488,23,2020,Antonio Senzatela,COL,0.2937507987188755,-0.026830070208992852,NA,0.23014187901041736,-1.563467709810744,0.3230364381173682,NA,-1.796065158010661
15474,24,2020,Lucas Giolito,CHW,-0.32467193542612605,0.009243973769485034,NA,-0.12392255023637838,1.256313022859197,-0.5521220396508022,NA,1.5984417035507665
17295,25,2020,Framber Valdez,HOU,0.2937507987188755,0.09041057272106008,NA,-1.1861158379767656,0.19889524810796919,-0.14028275599519208,NA,1.7286340680777423
3137,26,2020,Max Scherzer,WSN,0.2937507987188755,0.2437252596295913,NA,0.5842063082572131,1.0045468860136666,1.1981949158855387,NA,-0.7278287990398009
15038,27,2020,German Marquez,COL,-0.32467193542612605,0.25274377062421055,NA,-0.8320514087299699,0.04783556600065093,0.5804359904021246,NA,-0.2779647217218404
14168,28,2020,Jose Berrios,MIN,0.2937507987188755,0.47820654548969715,NA,-0.12392255023637838,-0.2039305708448795,0.8893154531438322,NA,-1.153779220523155
1943,29,2020,Zack Greinke,HOU,-0.9430946695711275,0.5052620784735558,NA,-0.8320514087299699,-0.2542837982139856,-0.08880284553824194,NA,-0.7817862919904571
25377,30,2020,Brady Singer,KCR,-0.32467193542612605,0.5323176114574136,NA,-0.12392255023637838,-0.5564031624286221,0.11711679628956313,NA,-1.4065869553653467
16256,31,2020,Kyle Freeland,COL,-1.561517403716129,0.7758174083121395,NA,0.23014187901041736,-1.3117015729652135,1.4041145577133438,NA,-5.283292821717243
15423,32,2020,Andrew Heaney,LAA,-0.32467193542612605,0.8840395402475731,NA,0.23014187901041736,-0.10322411610666733,0.42599625903127075,NA,-1.9680737298220545
13834,33,2020,Alec Mills,CHC,0.2937507987188755,0.9110950732314318,NA,1.6463995959976003,-1.3117015729652135,0.06563688583261187,NA,-3.641082329307982
